Preferred Name	NCGC Lib	SMILES	ML	Report Title	Probe Report URL (old mli links are down)	Source	Probe Present	comment	MLS_ID	SMR_ID	SID	CIDs
EBSELEN	MLS000028488-01|MLS001148646-01|NCGC00015412-01|NCGC00015412-02|NCGC00015412-03|NCGC00015412-04|NCGC00015412-05|NCGC00015412-06|NCGC00015412-07|NCGC00015412-08|NCGC00015412-09|NCGC00015412-10|NCGC00015412-11|NCGC00015412-12|NCGC00015412-13|NCGC00015412-14|NCGC00015412-15|NCGC00015412-16|NCGC00015412-17|NCGC00015412-18|NCGC00015412-19|NCGC00015412-20|NCGC00015412-21|NCGC00024072-01|NCGC00024072-02|NCGC00024072-03|NCGC00024072-04|NCGC00024072-05|NCGC00178610-01|NCGC00178610-02|NCGC00178610-03	O=c1n([se]c2ccccc12)-c1ccccc1	ML011	Molecule Modulators: Voltage-Dependent Potassium (RMI)	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=729	old pdf recovered from webarchive	Probe present		"MLS000028488, MLS001148645, MLS001148646, MLS001424261, MLS006010108"	SMR000058445	856002	
	NCGC00370817-01|NCGC00370817-02|NCGC00370817-03	O=C(CCNS(=O)(=O)c1cccc2nsnc12)N1CCN(CC1)c1ccncc1	ML012	Allosteric Modulators of the M1 Muscarinic Receptor - Antagonist	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=730	old pdf recovered from webarchive	Probe present		"MLS002279955, MLS006028790"	SMR001318093	56373925	
	MLS000041718-01|NCGC00067819-01|NCGC00067819-02|NCGC00067819-03	Cc1nc(SCc2nc3ccccc3[nH]2)c2oc3ccccc3c2n1	ML013	CREB signaling pathway: CRE potentiator	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=693	old pdf recovered from webarchive	Probe present		"MLS000041718, MLS003903519"	SMR000045343	863038	
	MLS002554295-01	OC(C(=O)N1CCC(CC1)Nc1ccc2[nH]ncc2c1)c1ccc(Br)cc1	ML014	Rho Kinase II Inhibitor	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=718	old pdf recovered from webarchive	Probe present		MLS002554295	SMR001456584	"99495592, 26657388"	
	NCGC00015545-01|NCGC00015545-02|NCGC00015545-03|NCGC00015545-04|NCGC00015545-05|NCGC00015545-06|NCGC00015545-07|NCGC00015545-08|NCGC00015545-09|NCGC00015545-10|NCGC00015545-11|NCGC00015545-12|NCGC00025304-01|NCGC00025304-02|NCGC00025304-03|NCGC00025304-04|NCGC00025304-05|NCGC00179303-01|NCGC00260831-01	ONc1c([nH]c2ccccc12)C1=c2ccccc2=NC1=O	ML015	Zebrafish Angiogenesis Inhibitor	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=689	old pdf recovered from webarchive	Probe missing	CID 5326739 is PROBE  Indirubin-3’-monoxime				5326739
	MLS000040279-01|NCGC00064274-01	CC(=O)C(C(C)=O)c1c(Cl)c(O)c(O)c2c(coc12)C(=O)c1ccccc1	ML016	HIV-1 Reverse Transcriptase Associated Ribonuclease H (Rnase H) Inhibitor	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=732	old pdf recovered from webarchive	Probe present		"MLS000040279, MLS003903627"	SMR000045910	863762	
	MLS002474583-01	CCOC(=O)C(C)Oc1cccc2c1ccn(CC(=O)Nc1ccc(OC)cc1)c2=O	ML017	High-Throughput Screening Campaign to Identify Inhibitors of SF-1	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=487	old pdf recovered from webarchive	Probe present		MLS002474583	SMR001398718	"99495561, 46499821"	
	MLS002474513-01	CCCCOc1cccc2c1ccn(CC(=O)Nc1ccc3OCCOc3c1)c2=O	ML018	High-Throughput Screening Campaign to Identify Inhibitors of SF-1	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=485	old pdf recovered from webarchive	Probe present		MLS002474513	SMR001398685	"99495569, 46499846"	
	MLS000103673-01|NCGC00081778-01|NCGC00081778-02|NCGC00081778-03|NCGC00081778-04|NCGC00081778-05|NCGC00081778-06|NCGC00261682-01	CCOC(=O)C(C)Oc1cccc2c1ccn(CC(=O)Nc1ccc3OCCOc3c1)c2=O	ML019	High-Throughput Screening Campaign to Identify Inhibitors of SF-1	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=486	old pdf recovered from webarchive	Probe present		"MLS000103673, MLS002152840, MLS006011674"	SMR000017938	"7969543, 46499798"	
	NCGC00487150-01	Cn1nc(cc1C(=O)Nc1ccc(cc1)S(=O)(=O)N1CCCCC1)C(F)(F)F	ML020	Measles Virus Inhibitor	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=690	old pdf recovered from webarchive	Probe missing	"CID 16122506, 2-methyl-N-(4-piperidin-1-ylsulfonylphenyl)-5-(trifluoromethyl)pyrazole-3-carboxamide"				16122506
	MLS002474534-01|NCGC00386876-01	CCCCCC[n+]1ccccc1\C=C\c1ccc(cc1)N(C)C	ML021	Toll-Like Receptor 4-MyD88 Signaling Inhibitor	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=722	old pdf recovered from webarchive	Probe present		MLS002474534	SMR001398707	"99495574, 26543390"	
		CC(C)c1ccc(SCC(=O)N2CCOCC2)cc1	ML022	12-kDa FK506-binding protein (FKBP12) Activator	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=711	old pdf recovered from webarchive	Probe missing	"CID 16725062, 2-(4-Isopropylphenylthio)-1-morpholinoethanone"				16725062
		CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NNC(=O)OCC(=O)N1CCCc2ccccc12	ML023	Human Cathepsin L Inhibitor	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=715	old pdf recovered from webarchive	Probe missing	"CID 23631927,  SID 46493575"			46493575	23631927
	MLS000033898-01|NCGC00030479-01|NCGC00030479-02	COc1ccc(cc1)S(=O)(=O)n1nc(OC(=O)c2ccccc2)cc1N	ML024	Inhibitors of the NS2B-NS3 Proteinase of West Nile Virus	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=733	old pdf recovered from webarchive	Probe present		MLS000033898	SMR000014915	852843	
	MLS000041932-01|NCGC00067552-01	CC(C)(C)OC(=O)NCCc1nnc(o1)S(=O)(=O)Cc1ccc(Cl)cc1Cl	ML025	AmpC beta-lactamase Covalent Inhibitor	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=691	old pdf recovered from webarchive	Probe present		"MLS000041932, MLS002583822"	SMR000046713	864201	
	MLS002474531-01|NCGC00161790-01|NCGC00161790-02	OC(=O)[C@@H](Cc1cccc2ccccc12)N1C(=O)c2ccc(cc2C1=O)C(O)=O	ML026	AmpC beta-lactamase Non-Covalent Inhibitor	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=692	old pdf recovered from webarchive	Probe present		MLS002474531	SMR001398704	"99495572, 26740854"	
PICEATANNOL	MLS002153321-01|NCGC00015794-01|NCGC00094226-01|NCGC00094226-02|NCGC00094226-03|NCGC00094226-04|NCGC00094226-05|NCGC00094226-06|NCGC00094226-07|NCGC00094226-08|NCGC00094226-09|NCGC00094226-10|NCGC00094226-11|NCGC00094226-12|NCGC00094226-13|NCGC00094226-14|NCGC00094226-15|NCGC00094226-16|NCGC00094226-17|NCGC00094226-18|NCGC00094226-19|NCGC00261600-01	Oc1cc(O)cc(\C=C\c2ccc(O)c(O)c2)c1	ML027	High Throughput Screening Campaign to Identify Inhibitors of MMP-8	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=482	old pdf recovered from webarchive	Probe present		"MLS002153321, MLS006010974, MLS003171221"	"SMR001230734, SMR001875127"	"56463614, 152146175, 24278620"	
	MLS000088377-01|NCGC00058397-01	COc1ccc(OC)c(c1)S(=O)(=O)Nc1cnc2ccccc2c1	ML028	Tissue-nonspecific Alkaline Phosphatase (TNAP)	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=447	old pdf recovered from webarchive	Probe present		MLS000088377	SMR000071743	"4261842, 26514170"	
	MLS001362415-01|NCGC00370721-01|NCGC00370721-02|NCGC00370721-03|NCGC00370721-04|NCGC00370721-05|NCGC00370721-06|NCGC00370721-07|NCGC00370721-08	Cc1cc2nc(NCCCO)n(CC(=O)c3cc(c(O)c(c3)C(C)(C)C)C(C)(C)C)c2cc1C	ML029	B-cell Specific Inhibitors of NF-ÎºB Activation	http://www.ncbi.nlm.nih.gov/books/NBK126176	NCBI Bookshelf Probe Report	Probe present		"MLS001362415, MLS001362416"	SMR000855725	"56320985, 48409448, 17450324"	
	MLS002264357-01|NCGC00165289-01|NCGC00165289-02|NCGC00165289-03|NCGC00165289-04|NCGC00165289-05|NCGC00165289-06	COc1ccc(OC)c(c1)-c1nnc2SCC(=Nn12)c1ccc(OC)c(OC)c1	ML030	Phosphodiesterase 4 (PDE4) Inhibitor in the cyclic response element-binding proteins (CREB) pathway	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=694	old pdf recovered from webarchive	Probe present		"MLS002264357, MLS002474521, MLS006029934"	SMR001317659	"99495582, 29217043"	
	MLS000057725-01|NCGC00041548-01|NCGC00041548-02|NCGC00041548-03|NCGC00041548-04|NCGC00041548-05	Cc1cc(C(=O)CN2C(=O)CCC2=O)c(C)n1Cc1ccccc1	ML031	Sphingosine-1-phosphate receptor 2 (S1P2) Agonist	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=720	old pdf recovered from webarchive	Probe present		"MLS000057725, MLS003911112, MLS006028078"	SMR000068650	"3716068, 46371210"	
	MLS000109390-01|NCGC00079845-01	COc1ccc(CSc2nc(C)cc(O)n2)cc1	ML032		http://www.sciencedirect.com/science/article/pii/S0968089608002174	missing	Probe present - assume remove	ML033 supercedes ML032	MLS000109390	SMR000105333	"7974872, 112379037"	
	MLS000062185-01|NCGC00062557-01	Oc1nc(SCc2ccc(Cl)cc2)nc2CCCc12	ML033	Matrix Metalloproteinase-13 (MMP-13) Inhibitor	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=717	old pdf recovered from webarchive	Probe present		MLS000062185	SMR000070991	"4257091, 112379042"	
	MLS000075919-01|NCGC00031300-01	OC(=O)CCC(NS(=O)(=O)c1ccc(cc1)-c1ccccc1)C(O)=O	ML034	Matrix Metalloproteinase-8 (MMP-8) Inhibitor	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=716	old pdf recovered from webarchive	Probe present		MLS000075919	SMR000014780	"842343, 112379036"	
	NCGC00163045-01	Cc1ccc2c(c1)-c1ccc3cccnc3c1NS2(=O)=O	ML035	N-(quinolin-8-yl)benzenesulfonamides as Agents Capable of Down-Regulating NFÃ_ÂºB Activity within Two Separate High-Throughput Screens of NFÃ_ÂºB Activation	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=456	old pdf recovered from webarchive	Probe missing	"called probe, but no CID given; synthesized based on SID 857745. SID of probe found by searching PubChem"				16759925
	NCGC00370877-01	CCc1ccccc1NC(=O)CSC(=O)NNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)OC(C)(C)C	ML036	Human Cathepsin L Inhibitor	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=714	old pdf recovered from webarchive	Probe present	"CID 16725315; SID 26681509, highly related to ML023"	MLS006029674	SMR004724473	26681509	16725315
	NCGC00350921-01	CCN(CC)c1ccc(cc1)C1Nc2ccccc2NC2=C1C(=O)CC(C2)c1ccccc1	ML037	Chemical Inhibitors of ER Stress	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=640	old pdf recovered from webarchive	Probe missing	CID 2878746 (based on screening hit CID 2891837)				2878746
	MLS000528324-01	O=C1C2CC=CCC2C(=O)N1c1n[nH]c(n1)-c1ccccc1	ML038	Intestinal alkaline phosphatase (IAP-L) Inhibitor	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=712	old pdf recovered from webarchive	Probe present		MLS000528324	SMR000120899	"14726337, 46493464"	
		OCCNC(=O)c1cc(n[nH]1)-c1ccc(Cl)c(Cl)c1Cl	ML039	Tissue-nonspecific Alkaline Phosphatase (TNAP)	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=448	old pdf recovered from webarchive	Probe missing	"MLS-0146291, N-(2-
hydroxyethyl)-3-(2,3,4-trichlorophenyl)-1Hpyrazole-
5-carboxamide"			48410135	24178170
		Cc1ccc(C)n1-c1ccc(C(O)=O)c(O)c1	ML040	EphA4 Receptor Antagonists for Nervous System Repair	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=710	old pdf recovered from webarchive	Probe present		MLS000523306	SMR000123284	17465980	
	MLS000710900-01	CN(C)C1=C(Cl)C(=O)N(C1=O)c1ccc(Cl)c(Cl)c1	ML041	Inhibitor of anti-apoptotic protein Bfl-1	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=708	old pdf recovered from webarchive	Probe present		MLS000710900	SMR000280667	"24810089, 26514158, 3962106"	
	MLS000100272-01|NCGC00053095-01|NCGC00053095-02	CCOC(=O)CS(=O)(=O)c1nc(cc(n1)C(F)(F)F)-c1ccc(F)cc1	ML042	Inhibitor of anti-apoptotic protein Bfl-1	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=709	old pdf recovered from webarchive	Probe present		MLS000100272	SMR000082310	"4265380, 26514105"	
	MLS000769271-01	COc1ccccc1N(\N=C1/Sc2ccccc2C1=O)C(C)=O	ML043	Inhibitors of the Polo box domain of Human Polo-like kinase 1 	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=639	old pdf recovered from webarchive	Probe present		MLS000769271	SMR000434005	"26665576, 47212999"	
	MLS000043346-01|NCGC00043555-01|NCGC00043555-02|NCGC00043555-03|NCGC00043555-04|NCGC00043555-05|NCGC00043555-06|NCGC00043555-07|NCGC00043555-08|NCGC00043555-09|NCGC00043555-10	Oc1ccc2oc3c(CCCNC3=O)c2c1	ML044	Protein Kinase D Inhibitor	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=664	old pdf recovered from webarchive	Probe present		"MLS000043346, MLS006030010"	SMR000019965	4242787	
	MLS001244126-01|NCGC00187889-01	Oc1ccc(CCNc2ncnc3ccc(Cl)cc23)cc1	ML045	Aggregation and Clearance of Huntingtin Inclusions: HuntingtonÃ¢â‚¬â„¢s Disease Assay	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=457	old pdf recovered from webarchive	Probe present		"MLS001244126, MLS001244136"	SMR000673572	49729242	
		O#C[Ru@]1([C@H]2C(C)=C(C(OCC)=O)C=C2C)N(C3=C4C=CC=C3)C5=C4C(C(NC6=O)=O)=C6C7=C5[N]1=CC8=C7C=CC=C8	ML046	Ruthenium-based TrkA Inhibitor	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=641	old pdf recovered from webarchive	"Probe missing, metal complex"	"SID 49649811 (MLS-0146291 ? - not found under that name). Is a Ru metal complex, was probably rejected by metal filter. No analogs in SMR"			49649811	24748038
	MLS001242395-01	COc1ccc(cc1NC(=O)C(C)C)-c1cn2cccnc2n1	ML047	Formylpeptide Receptor-Like 1 (FPRL-1) Antagonist	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=702	old pdf recovered from webarchive	Probe present		MLS001242395	SMR000686160	"49824511, 24702504"	
	MLS001242385-01	CCc1cc2c(cc1OC(C)=O)oc(C)c(-c1nc3ccccc3n1C)c2=O	ML048	Formylpeptide Receptor (FPR) Antagonist	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=703	old pdf recovered from webarchive	Probe present		MLS001242385	SMR000686159	"49824510, 24428139"	
			ML049	Fluorescent Cross-Reactive FPR/FPRL1 Hexapeptide Ligand	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=1005	old pdf recovered from webarchive	"Not in PubChem, not a small molecule"					
	MLS000555771-01|NCGC00260860-01|NCGC00387787-01	Brc1cc2OCOc2cc1C1Nc2ccccc2C2C=CCC12	ML050	Competitive inhibitor of lingand binding for G protein-coupled receptor 30 (GPR30)	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=728	old pdf recovered from webarchive	Probe present		MLS000555771	SMR000177274	"17431526, 48409616"	
	MLS001242405-01|NCGC00344023-01|NCGC00344023-02|NCGC00344023-03	CC(=O)c1ccc2NC(C3CC=CC3c2c1)c1cc2OCOc2cc1Br	ML051	Competitive inhibitor of lingand binding for G protein-coupled receptor 30 (GPR30)	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=727	old pdf recovered from webarchive	Probe present		MLS001242405	SMR001227330	"56320371, 48409542"	
	MLS000095184-01|MLS000877124-01|NCGC00069692-01	CCCN(CCC)CCNC(=O)C1CCN(Cc2nc(oc2C)-c2ccc(Cl)cc2)CC1	ML052	Activator of Prostate Cell Differentiation	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=731	old pdf recovered from webarchive	Probe present		"MLS000095184, MLS000877124"	SMR000030738	4246202	
	MLS000086415-01|NCGC00043963-01	CC1CCCN(C1)C(C(=O)Nc1ccc2OCCOc2c1)c1ccccc1	ML053	Autoinducing pheromone (AIP)-dependent bacterial quorum sensing of S. aureus Agr3 agr locus genotype: target downstream of AIP binding	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=700	old pdf recovered from webarchive	Probe present		"MLS000086415, MLS002585932"	SMR000021917	4246674	
BENZBROMARONE	MLS000028522-01|MLS000737128-01|MLS001074105-01|NCGC00013895-01|NCGC00013895-02|NCGC00013895-03|NCGC00013895-04|NCGC00013895-05|NCGC00013895-06|NCGC00013895-07|NCGC00013895-08|NCGC00013895-09|NCGC00013895-10|NCGC00013895-11|NCGC00013895-12|NCGC00013895-13|NCGC00013895-14|NCGC00013895-15|NCGC00013895-16|NCGC00013895-17|NCGC00013895-18|NCGC00013895-19|NCGC00013895-20|NCGC00022066-01|NCGC00022066-02|NCGC00022066-03|NCGC00022066-04	CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1	ML054	Autoinducing pheromone (AIP)-dependent bacterial quorum sensing:  AIP binding target	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=701	old pdf recovered from webarchive	Probe present		"MLS000028522, MLS000737128, MLS001074105, MLS001074106, MLS001424143"	SMR000058310	"855676, 24424558"	
		Cc1cc(C)nc(\N=C(\N)Nc2cccc(N)c2)n1	ML055	High Throughput Fluorescence Polarization Screen for Bcl-B Phenotypic Converters 	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=877	old pdf recovered from webarchive	Probe missing	CID-5816499  /SID 56373680				5816499
	NCGC00485653-01	CCCCCCc1cccc(NC(=O)[C@H](N)CCP(O)(O)=O)c1	ML056	S1P1 Antagonist	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=490	old pdf recovered from webarchive	Probe present		MLS002474533	SMR001398706	24257742	
		CC(C)(C)C1CCc2onc(C(=O)Nc3cnn(Cc4ccc(I)cc4)c3)c2C1	ML057	Pantothenate Synthetase (PanC) Inhibitor	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=724	old pdf recovered from webarchive	Probe missing	"CID 16740889  5-tert-butyl-N-[1-[(4-iodophenyl)methyl]pyrazol-4-yl]-4,5,6,7-tetrahydro-1,2-
benzoxazole-3-carboxamide"				16740889
		O=C(N1CCCC1)c1ccccc1-n1sc2ccccc2c1=O	ML058	Inhibitor of the Mevalonate Pathway in Streptococcus pneumoniae 1: Inhibitors of Mevalonate Kinase (MK)	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=723	old pdf recovered from webarchive	Probe missing	"CID 16750003,  2-[2-(pyrrolidine-1-carbonyl)phenyl]-1,2-
benzisothiazol-3-one"				16750003
	MLS000040166-01|NCGC00065256-01|NCGC00065256-02|NCGC00165162-01	CCN1CCN(CC1)c1nc2ccccc2nc1C(C#N)C(=O)OC1CCCCC1	ML059	Tau Filament Binding	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=751	old pdf recovered from webarchive	Probe present		MLS000040166	SMR000043984	862054	
	MLS000718932-01|NCGC00093523-01	CCCc1nn(C)c2nc(=O)n(C)c(=O)c2n1	ML060	qHTS Assay for Disrupters of an Hsp90 Co-Chaperone Interaction 	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=594	old pdf recovered from webarchive	Probe present		MLS000718932	SMR000291200	"24809205, 26753499"	
MYRICETIN	MLS002153825-01|NCGC00015697-01|NCGC00015697-02|NCGC00015697-03|NCGC00015697-04|NCGC00015697-05|NCGC00015697-06|NCGC00015697-07|NCGC00015697-08|NCGC00015697-09|NCGC00015697-10|NCGC00015697-11|NCGC00015697-12|NCGC00015697-13|NCGC00015697-14|NCGC00015697-15|NCGC00015697-16|NCGC00015697-17|NCGC00015697-18|NCGC00015697-19|NCGC00015697-20|NCGC00015697-21|NCGC00015697-22|NCGC00015697-23|NCGC00015697-24|NCGC00094083-01|NCGC00094083-02|NCGC00094083-03|NCGC00094083-04|NCGC00179517-01|NCGC00179517-02|NCGC00261425-01	Oc1cc(O)c2c(c1)oc(-c1cc(O)c(O)c(O)c1)c(O)c2=O	ML061	DNA Primase Inihibitor	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=749	old pdf recovered from webarchive	Probe present		"MLS002153825, MLS006010718"	SMR001233193	"56463598, 11111487"	
ELLAGIC ACID	MLS000069632-01|NCGC00017245-01|NCGC00017245-02|NCGC00017245-03|NCGC00017245-04|NCGC00017245-05|NCGC00017245-06|NCGC00017245-07|NCGC00017245-08|NCGC00017245-09|NCGC00017245-10|NCGC00017245-11|NCGC00017245-12|NCGC00017245-13|NCGC00017245-14|NCGC00017245-15|NCGC00017245-16|NCGC00017245-17|NCGC00017245-18|NCGC00017245-19|NCGC00017245-20|NCGC00017245-21|NCGC00017245-22|NCGC00017245-23|NCGC00017245-24|NCGC00094975-01|NCGC00094975-02|NCGC00094975-03|NCGC00094975-04|NCGC00178375-01	Oc1cc2c3c(oc(=O)c4cc(O)c(O)c(oc2=O)c34)c1O	ML062	DNA-polymerase III (polymerase core enzme) inhibitor	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=750	old pdf recovered from webarchive	Probe present		"MLS000069632, MLS006011868, MLS000757191"	"SMR000058244, SMR000450544"	"8139882, 11113162"	
	CB_5175150|MLS000038106-01|NCGC00070544-01|NCGC00070544-02|NCGC00070544-03	O=S1(=O)Nc2c(ccc3cccnc23)-c2ccccc12	ML063	Ikappa-B-alpha stabilizers in a human lymphoma cell line 	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=461	old pdf recovered from webarchive	Probe present		MLS000038106	SMR000040050	857745	
DAZOMET	AB07930275-01|DSSTOX_40415-01|MLS000104430-01|MLS000104430-02|NCGC00080412-01|NCGC00080412-02|NCGC00080412-03|NCGC00080412-04|NCGC00080412-05|NCGC00254892-01|NCGC00258788-01	CN1CSC(=S)N(C)C1	ML064	Epigenetic Modulators	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=850	old pdf recovered from webarchive	Probe present		"MLS000104430, MLS002303024"	SMR000054365	"7976210, 17389072"	
	MLS000063258-01|NCGC00059731-01|NCGC00059731-02	O=C(CSc1cccc2cccnc12)N1CCCC1	ML065	Epigenetic Modulators	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=848	old pdf recovered from webarchive	Probe present		MLS000063258	SMR000074849	"4258900, 26752291"	
	MLS000108814-01|NCGC00078957-01|NCGC00078957-02|NCGC00078957-03|NCGC00078957-04|NCGC00161878-01|NCGC00161878-02	CC(C)C(=O)NC(c1ccco1)c1ccc2cccnc2c1O	ML066	Epigenetic Modulators	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=849	old pdf recovered from webarchive	Probe present		MLS000108814	SMR000104764	"7973071, 26755514"	
