Source_Type	Probe_ID	smiles	Sample_IDs	PubChem_CID	URL for CID resolution (if needed)	
Query	ML054	CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br	MLS000028522-01|MLS000737128-01|MLS001074105-01|NCGC00013895-01|NCGC00013895-02|NCGC00013895-03|NCGC00013895-04|NCGC00013895-05|NCGC00013895-06|NCGC00013895-07|NCGC00013895-08|NCGC00013895-09|NCGC00013895-10|NCGC00013895-11|NCGC00013895-12|NCGC00013895-13|NCGC00013895-14|NCGC00013895-15|NCGC00013895-16|NCGC00013895-17|NCGC00013895-18|NCGC00013895-19|NCGC00013895-20|NCGC00022066-01|NCGC00022066-02|NCGC00022066-03|NCGC00022066-04	2333		
Query	ML056	CCCCCCC1=CC(=CC=C1)NC(=O)C(CCP(=O)(O)O)N	NCGC00485653-01	6857802		
Query	ML060	CCCC1=NN(C2=NC(=O)N(C(=O)C2=N1)C)C	MLS000718932-01|NCGC00093523-01	3164059		
Query	ML064	CN1CN(C(=S)SC1)C	AB07930275-01|DSSTOX_40415-01|MLS000104430-01|MLS000104430-02|NCGC00080412-01|NCGC00080412-02|NCGC00080412-03|NCGC00080412-04|NCGC00080412-05|NCGC00254892-01|NCGC00258788-01	10788		
Query	ML065	C1CCN(C1)C(=O)CSC2=CC=CC3=C2N=CC=C3	MLS000063258-01|NCGC00059731-01|NCGC00059731-02	975656		
Query	ML066	CC(C)C(=O)NC(C1=C(C2=C(C=CC=N2)C=C1)O)C3=CC=CO3	MLS000108814-01|NCGC00078957-01|NCGC00078957-02|NCGC00078957-03|NCGC00078957-04|NCGC00161878-01|NCGC00161878-02	2876959		
Query	ML067	O=C(COC(=O)C12CC3CC(CC(C3)C1)C2)NCC4=CC=CO4	MLS000098157-01|NCGC00039523-01|NCGC00039523-02|NCGC00039523-03	2998659		
Query	ML068	NC1=NC(=O)C2=NNNC2=N1	MLS001074752-01|NCGC00016399-01|NCGC00016399-02|NCGC00016399-03|NCGC00016399-04|NCGC00016399-05|NCGC00016399-06|NCGC00188264-01|NCGC00389293-01	8646		
Query	ML071	CCOC(=O)N1CCC(CC1)NCCNC(=O)C2=CC=CC=C2C	NCGC00386615-01|NCGC00386615-02|NCGC00386615-03	25010776		
Query	ML072	CC1=C(C(C2=CC=CC=C2)S(=O)(=O)C3=CC=C(C)C=C3)C(C)=NO1	MLS000698406-01	4460128		
Query	ML073	COC1=CC(=CC=C1)C2=NC(=NO2)C3=CC=C(NC(=O)CC4=CC=CC=C4OC)C=C3	MLS000047258-01|NCGC00051126-01|NCGC00051126-02	3236979		
Query	ML074	CC1=CC=C(C)C(NS(=O)(=O)C2=C(Cl)C=CC(=C2)C(=O)NC3=CC=CC=C3C4=CC=CC=C4)=C1	MLS000581978-01	2228302		
Query	ML075	CCOC1=CC=C(NC(=S)N2CCC(CC2)C(O)(C3=CC=CC=C3)C4=CC=CC=C4)C=C1	MLS000569101-01|NCGC00370968-01|NCGC00370968-02	2936384		
Query	ML076	O=C(NCC1=CC=CC2=C1SC=C2)C3=CC=CS3	MLS002460410-01	25105719		
Query	ML077	CN(C(=O)CSC1=NN=C(C=C1)C2=CC=CC=C2)C3=NC(C)=CS3	NCGC00370748-01|NCGC00370748-02|NCGC00370748-03	25067404		
Query	ML079	COC1=CC=C(C=C1OC)C2C3=C(OC4=CC=C5C=CC=CC5=C24)N=CN(CCN6CCOCC6)C3=N	MLS000558527-01|MLS000558527-02|NCGC00183144-01|NCGC00183144-02	3719993		
Query	ML080	OC1=CC=C(C2=CSC(NC3=CC=C(C#N)C(=C3)C(F)(F)F)=N2)C(O)=C1	MLS002391576-01|NCGC00386816-01	25110544		
Query	ML081	Cl.Cl.CC[C@H]1CN2CCC3=CC(OC)=C(OC)C=C3[C@@H]2C[C@@H]1C[C@H]4NCCC5=CC(OC)=C(OC)C=C45	MLS000028478-01|MLS001146924-01|NCGC00015404-01|NCGC00015404-02|NCGC00016428-01|NCGC00017405-01|NCGC00024379-01|NCGC00024379-02|NCGC00024379-04|NCGC00024379-05|NCGC00024379-06|NCGC00024379-07|NCGC00024379-08|NCGC00024379-09|NCGC00024379-10|NCGC00024379-11|NCGC00024379-12|NCGC00024379-13|NCGC00024379-14|NCGC00024379-15|NCGC00024379-16|NCGC00024379-17|NCGC00024379-18|NCGC00024379-19|NCGC00024379-20|NCGC00093874-01|NCGC00094664-01|NCGC00094664-02|NCGC00142477-01|NCGC00178891-01|NCGC00178891-02|NCGC00178891-03|NCGC00257951-01|NCGC00261145-01|NCGC00359727-01	6603320		
Query	ML082	CN1C2=C(SC(C)=C2)C3=C1C(=O)N(CC4=CC=CC=C4F)N=C3	MLS000076148-01|NCGC00031955-01|NCGC00031955-02|NCGC00031955-03	654376		
Query	ML083	COC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)S(=O)(=O)C3=CC=C4OCCOC4=C3	MLS000030964-01|MLS000888347-01|NCGC00030335-01|NCGC00030335-02|NCGC00030335-03	650361		
Query	ML084	COC(=O)C1=CC=CC=C1NC(=O)C2=CC=C(F)C=C2	MLS000722799-01|NCGC00025310-01|NCGC00025310-02|NCGC00025310-03|NCGC00025310-04|NCGC00025310-05	310557		
Query	ML085	COC1=CC=CC=C1C2=NN=C(SCC(=O)C3=CC=C(O)C(O)=C3)N2CC=C	MLS000080519-01|NCGC00071493-01|NCGC00071493-02	665093		
Query	ML087	OC1=CC=CC=C1N\N=C2/C(=O)N(CC=C)C3=CC=CC=C23	MLS002460481-01|NCGC00386922-01	25199559		
Query	ML088	CC1=CC(OCC(=O)NC2=NC=NN2)=CC=C1Cl	MLS002460492-01|NCGC00100181-01|NCGC00100181-02		https://pubchem.ncbi.nlm.nih.gov/substance/ML088#section=Top	https://pubchem.ncbi.nlm.nih.gov/substance/ML088#section=Top
Query	ML089	FC1=CC2=C(SN(C2=O)C3=CC=CC=C3)C=C1	MLS002460495-01	22416235		
Query	ML090	N1C2=CC=CC=C2NC3=C1N=C4C=CC=CC4=N3	NCGC00386834-01|NCGC00386834-02|NCGC00386834-03	616479		
Query	ML091	O=C(CNC(=O)C1CCCCC1)OC(C(=O)C2=CC=CC=C2)C3=CC=CC=C3	MLS002471788-01|NCGC00181213-01|NCGC00181213-02|NCGC00181213-03	44143092		
Query	ML092	CCN1C=NC2=C1N=C(N=C2NC3=CC(F)=CC(F)=C3)C#N	MLS002471782-01|NCGC00181918-01|NCGC00181918-02|NCGC00181918-03	44143088		
Query	ML094	FC1=CC=C(C=C1)C(=O)OCC#CCSC2=NN=C(O2)C3=C4C=CC=CC4=CC=C3	MLS002391450-01|NCGC00183397-01		https://pubchem.ncbi.nlm.nih.gov/substance/ML094#section=Top	https://pubchem.ncbi.nlm.nih.gov/substance/ML094#section=Top
Query	ML095	Cl.CCC1=NC=CN1CC(=O)C2=CC=C(O)C(O)=C2	MLS002460469-01|NCGC00386902-01|NCGC00386902-02|NCGC00386902-03|NCGC00386902-04|NCGC00386902-05	25067483		
Query	ML096	CC1=NN=C(O1)\N=C2/SSN=C2Cl	MLS002460474-01|NCGC00386866-01	25199533		
Query	ML097	OC(=O)C1=CC=CC=C1OCC2=CC=CC=C2Br	MLS000761515-01|NCGC00387973-01|NCGC00387973-02|NCGC00387973-03	2160985		
Query	ML098	CC1=CC=C(C)C(OCCN2C=C(C(O)=O)C3=C2C=CC=C3)=C1	MLS000689786-01|NCGC00388035-01|NCGC00388035-02|NCGC00388035-03|NCGC00388035-04	7345532		
Query	ML099	OC(=O)C1=C(SCCC2=CC=CC=C2)N=CC=C1	MLS000088004-01|NCGC00053348-01|NCGC00053348-02|NCGC00053348-03|NCGC00053348-04	888706		
Query	ML100	CSC1=NC(=NC(=N1)C2=CC=C(C)C=C2)C(Cl)Cl	MLS000544130-01	3380841		
Query	ML101	OC=O.CN[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)NC2=C3C=CC=NC3=CC=C2	MLS002460460-01|NCGC00386919-01	25241666		
Query	ML102	CC1=C(C(=O)N=C2C=CC=CC2=N1)NNC3=CC=CC=C3	MLS000391787-01|MLS000391787-02	2303746		
Query	ML103	NC1=C2C(=CS1)C(=NN(C2=O)C3=CC=CC=C3)C(O)=O	MLS002472423-01|NCGC00183199-01	9795907		
Query	ML104	COC1=C(N=NC(=N1)C2=CC=CC=C2)C3=CC=CC=C3	MLS000763654-01|MLS000763654-02	6404603		
Query	ML105	C(NC1=NC(=NC=C1)C2=CC=C3OCOC3=C2)C4=CN=CC=C4	MLS003115040-01|NCGC00012420-01|NCGC00012420-02	3234998		
Query	ML106	C(NC1=C2C=C(C=CC2=NC=N1)C3=CC=C4OCOC4=C3)C5=CC=CS5	MLS002276464-01|MLS003115039-01|MLS003179270-01|NCGC00010037-01|NCGC00010037-02|NCGC00010037-03|NCGC00010037-04	3232621		
Query	ML108	COC1=CC=C(CNC(=O)C2=C(N)C3=C(S2)N=C(C)C=C3C)C=C1	NCGC00370898-01|NCGC00370898-02|NCGC00370898-03|NCGC00370898-04|NCGC00370898-05	864492		
Query	ML109	COC1=CC=C(C=C1COC2=CC=C(NC(C)=O)C=C2)C3NC4=CC=CC(O)=C4C(=O)N3CC5=CC=CC=C5	MLS002576689-01|NCGC00168126-01|NCGC00168126-02	25246343		
Query	ML111	[O-][N+](=O)C1=CC=C(CN2CCOCCOCCN(CC3=CC=C(C=C3)[N+]([O-])=O)CCOCC2)C=C1	MLS000584173-01|NCGC00370747-01|NCGC00370747-02|NCGC00370747-03|NCGC00370747-04|NCGC00370747-05	71433535		
Query	ML112	[O-][N+](=O)C1=CC2=C(C=C1)N=C(COCC3=NC4=C(N3)C=C(C=C4)[N+]([O-])=O)N2	NCGC00371023-01|NCGC00371023-02	44123657		
Query	ML113	OS(=O)(=O)CCN1C(=S)S\C(=C/C2=CN(N=C2C3=CC=C(OCC4=CC=C(Cl)C=C4)C=C3)C5=CC=CC=C5)C1=O	MLS002554749-01|NCGC00386830-01	6161281		
Query	ML114	C\C(=N/OC(=O)C1CCCCC1)C2=NC=CS2	MLS002473500-01|NCGC00386911-01	5934766		
Query	ML115	COC1=CC(Cl)=C(OC)C=C1NC(=O)C2=NOC(=C2)C3CC3	MLS000522376-01|NCGC00402332-01|NCGC00402332-02	6619100		
Query	ML116	C(C1CCN(CC1)C2=NC=NC3=C2C=CS3)C4=CC=CC=C4	MLS001007458-01	2100018		
Query	ML118	OC(=O)C(F)(F)F.CN1C(=O)C=C(OCCCC(=O)NC2=CC(C)=CC=N2)C3=C1C=CC=C3	MLS000089581-01|MLS002473427-01|NCGC00050539-01	44552613		
Query	ML119	OC(=O)C1=CC=CC=C1C2=CC=C(O2)\C=C3/SC4=NC5=C(N=CC(Br)=C5)N4C3=O	MLS000107874-01|MLS000107874-02|MLS002554729-01|NCGC00077915-01|NCGC00077915-02	1357397		
Query	ML120	CCOC(=O)C1=C(C)N=C2SC(=CC3=CC=C(OCC(O)=O)C=C3)C(=O)N2C1C4=CC=C(SC)C=C4	MLS001178476-01|MLS002554735-01|NCGC00386870-01	4302116		
Query	ML121	O=C1NC2=C(S1)C(C3C4CCC(C4)C3S2)C5=CN=CC=C5	MLS000680027-01		https://pubchem.ncbi.nlm.nih.gov/substance/ML121#section=Top	https://pubchem.ncbi.nlm.nih.gov/substance/ML121#section=Top
Query	ML122	CC1=CC=C(N2CCN(CC2)S(=O)(=O)N3CCCCC3)C(C)=C1	MLS000715887-01|NCGC00386862-01	701237		
Query	ML123	ClC1=CC=C(C=C1)S(=O)(=O)NC2CCCCC2N3CCOCC3	MLS000713637-01|MLS003529999-01|MLS003530000-01|MLS003530001-01|NCGC00386891-01	2911646		
Query	ML124	CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)C(O)(C(F)(F)F)C(F)(F)F	MLS002554296-01|NCGC00238413-01	44237404		
Query	ML125	OC(C1=CC=C(C=C1)N(CC(F)(F)F)S(=O)(=O)C2=CC=CC=C2)(C(F)(F)F)C(F)(F)F	MLS002554297-01|NCGC00159555-01|NCGC00159555-02|NCGC00159555-03|NCGC00159555-04|NCGC00159555-05|NCGC00159555-06|NCGC00159555-07|NCGC00159555-08|NCGC00344279-01	447912		
Query	ML126	CC1=CC=C(C=C1)C(=O)N2C3=CC=CC=C3C4=CC=CC=C42	MLS000554721-01	576989		
Query	ML127	CC(=O)NC(C1=CC=CS1)C2=CC(Br)=C3C=CC=NC3=C2O	MLS002729016-01|NCGC00183685-01|NCGC00183685-02|NCGC00183685-03|NCGC00183685-04|NCGC00183685-05|NCGC00183685-06|NCGC00183685-07|NCGC00188369-01|NCGC00188369-02|NCGC00188369-03|NCGC00188369-04|NCGC00188370-01|NCGC00188370-02|NCGC00188370-03|NCGC00188370-04	44460175		
Query	ML128	COC1=CC(NC(=O)C2=CC=CC=N2)=CC=C1Cl	NCGC00386217-01|NCGC00386217-02|NCGC00386217-03|NCGC00386217-04|NCGC00386217-05|NCGC00386217-06		https://pubchem.ncbi.nlm.nih.gov/substance/ML128#section=Top	https://pubchem.ncbi.nlm.nih.gov/substance/ML128#section=Top
Query	ML129	COC1=CC=C(CN2C(=O)C(=O)C3=CC(OC(F)(F)F)=CC=C23)C=C1	NCGC00370888-01|NCGC00370888-02|NCGC00370888-03	42633508		
Query	ML130	CC1=CC=C(C=C1)S(=O)(=O)N2C(N)=NC3=C2C=CC=C3	MLS001201458-01|NCGC00351605-01|NCGC00351605-02|NCGC00351605-03|NCGC00351605-04|NCGC00351605-05|NCGC00351605-06|NCGC00351605-07|NCGC00351605-08	1088438		
Query	ML131	CCC1=CC=CC(CC)=C1NC(=O)C2=CC=C(O2)C3=CC(Cl)=CC=C3Cl	MLS002699003-01	44607580		
Query	ML132	CC(C)(C)[C@H](NC(=O)C1=CC=C(N)C(Cl)=C1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(O)=O)C#N	MLS002729011-01|NCGC00183434-01|NCGC00183434-02|NCGC00183434-03|NCGC00183434-04|NCGC00183434-05|NCGC00183434-06	44620939		
Query	ML133	COC1=CC=C(CNCC2=C3C=CC=CC3=CC=C2)C=C1	MLS001203677-01|NCGC00379157-01|NCGC00379157-02|NCGC00379157-03|NCGC00379157-04	781301		
Query	ML134	CCCOC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=N2)OC	MLS000554305-01|NCGC00386886-01	1612038		
Query	ML135	COC1=CC=C(C=C1)SC2=C(C=C(C=C2)NC(=O)C3=CC=CC=C3Cl)C#N	MLS000326035-01|NCGC00386883-01	2769229		
Query	ML136	[O-][N+](=O)C1=CC(=CC=C1)S(=O)(=O)N2C=CC=C2\C=C(/C#N)S(=O)(=O)C3=CC=C(F)C=C3	MLS002699139-01|NCGC00386854-01|NCGC00386854-02	44607965		
Query	ML137	CN1C=C(C=N1)C2=CC=C(CN3C(=O)C(=O)C4=CC=CC=C34)C(F)=C2	NCGC00402335-01|NCGC00402335-02	44251556		
Query	ML138	ClC1=CC=C(CSC2=NN=C(N2CC3=CC=CO3)C4=CC=CC=N4)C=C1Cl	MLS002699344-01|NCGC00386895-01|NCGC00386895-02|NCGC00386895-03|NCGC00386895-04	44601470		
Query	ML139	O=C(NC1CCCCC1)C2(CCCCC2)N(CC3=CC=CS3)C(=O)C4=CC=CC=N4	MLS000729783-01|NCGC00386888-01		https://pubchem.ncbi.nlm.nih.gov/substance/ML139#section=Top	https://pubchem.ncbi.nlm.nih.gov/substance/ML139#section=Top
Query	ML140	CC(C)N(CCNC(=O)C1=CC=C(CNS(=O)(=O)C2=CC=C(C)C=C2)C=C1)CC3=CC=CC=C3	MLS000682490-01|NCGC00386887-01		https://pubchem.ncbi.nlm.nih.gov/substance/ML140#section=Top	https://pubchem.ncbi.nlm.nih.gov/substance/ML140#section=Top
Query	ML141	COC1=CC=C(C=C1)C2CC(=NN2C3=CC=C(C=C3)S(N)(=O)=O)C4=CC=CC=C4	MLS000693334-01|NCGC00263209-01|NCGC00263209-02|NCGC00263209-03|NCGC00263209-04|NCGC00263209-05|NCGC00263209-06|NCGC00263209-07|NCGC00263209-08|NCGC00263209-09|NCGC00263209-10|NCGC00263209-11|NCGC00263209-12|NCGC00263209-13	2950007		
Query	ML142	BrC1=CC=C2N=C3CCCN3CC2=C1	MLS001173536-01	928277		
Query	ML143	O=C(CSC1=NC2=C(C=CC=C2)C(=O)N1C3=CC=CC=C3)NC4=CC=C5CCCC5=C4	MLS002699430-01|NCGC00386903-01	2557019		
Query	ML144	CC1=CC=CC=C1N2CCN(CC2)C3=NC=NC4=C3C=NN4CC5=CC=C(Cl)C=C5	MLS000048987-01|NCGC00060059-01|NCGC00060059-02		https://pubchem.ncbi.nlm.nih.gov/substance/ML144#section=Top	https://pubchem.ncbi.nlm.nih.gov/substance/ML144#section=Top
Query	ML145	CC(=C/C1=CC=CC=C1)\C=C2/SC(=S)N(CCCC(=O)NC3=CC=C(C(O)=O)C(O)=C3)C2=O	MLS000575039-01|MLS002699443-01|NCGC00386897-01|NCGC00386897-02		https://pubchem.ncbi.nlm.nih.gov/substance/ML145#section=Top	https://pubchem.ncbi.nlm.nih.gov/substance/ML145#section=Top
Query	ML146	C\C=C\CN1C(SCCCC2=CC=CC=C2)=NC3=C1C(=O)NC(=O)N3C	MLS000100710-01|MLS002699436-01|NCGC00086687-01|NCGC00086687-02|NCGC00086687-03|NCGC00086687-04		https://pubchem.ncbi.nlm.nih.gov/substance/ML146#section=Top	https://pubchem.ncbi.nlm.nih.gov/substance/ML146#section=Top
Query	ML147	BrC1=CC2=C(N=C(N2)SCC3=CC=CC=C3C#N)N=C1	MLS000089867-01|MLS002729015-01|NCGC00044151-01|NCGC00044151-02|NCGC00044151-03|NCGC00044151-04|NCGC00044151-05	3245059		
Query	ML148	CC1=CC(=CC=C1)N2C=NC3=C2C=CC(=C3)C(=O)N4CCCCC4	MLS000095927-01|NCGC00065167-01|NCGC00065167-02|NCGC00065167-03|NCGC00065167-04|NCGC00065167-05	3243760		
Query	ML149	CC1=CC(=C(C)N1C2=CC=CC=C2)C3=NN=C4CCCCCN34	MLS000048641-01|NCGC00037850-01|NCGC00037850-02|NCGC00037850-03|NCGC00037850-04|NCGC00037850-05	2331284		
Query	ML150	CN(C)C1=NC(=NC(=N1)N)CSC2=NN=NN2C3=CC=CC4=CC=CC=C43	MLS000049874-01|NCGC00060118-01|NCGC00060118-02|NCGC00060118-03|NCGC00060118-04	1517919		
Query	ML151	CS(=O)(=O)C1=CC=C(C=C1[N+]([O-])=O)C(=O)OCC(=O)NC23CC4CC(CC(C4)C2)C3	MLS000389544-01|NCGC00188612-01|NCGC00188612-02|NCGC00188612-03	5184800		
Query	ML152	O=C1CCCC2=C1C3(CCCC3)N=C(NC4=NC5=C(O4)C=CC=C5)N2	MLS000039538-01|MLS002728999-01|NCGC00067895-01|NCGC00187642-01|NCGC00187642-02|NCGC00187642-03|NCGC00187642-04	664331		
Query	ML153	NC(=O)C1CCN(CC1)C2=NC(=CS2)C3=CC=C(Br)C=C3	MLS000698854-01|MLS000698854-02|MLS000698854-03|NCGC00183533-01		https://pubchem.ncbi.nlm.nih.gov/substance/ML153#section=Top	https://pubchem.ncbi.nlm.nih.gov/substance/ML153#section=Top
Query	ML154	[Br-].CC1=C([N+]2=C(C=CC=C2)N1C\C=C\C3=CC=CC=C3)P(=S)(C4=CC=CC=C4)C5=CC=CC=C5	MLS002703109-01|NCGC00185684-01|NCGC00185684-02|NCGC00185684-03|NCGC00185684-04|NCGC00185684-05	46930969		
Query	ML155	O=S(=O)(N1CCN(CC1)C2=C3C=CC=CC3=NC(=N2)C4=CC=CS4)C5=CC=C6C=CC=CC6=C5	NCGC00182292-01|NCGC00182292-02|NCGC00182292-03|NCGC00182292-04	40225210		
Query	ML156	ClC1=CC=C(CN(CCCNC(=S)NCCCC2=CN=CN2)C3=CC=C(Br)C=N3)C=C1Cl	MLS002703100-01|NCGC00159568-01|NCGC00159568-02|NCGC00159568-03|NCGC00159568-04|NCGC00159568-05	9893924		
Query	ML157	CCCN1C(=C(C=N1)CN2CCCC(C2)C(=O)C3=CC(=CC=C3)OC(C)C)C	MLS000735000-01|NCGC00386885-01	16190867		
Query	ML158	CN(CCC1=CC(=C(C=C1)OC)OC)C(=O)C2CCCN(C2)CC3=CC(=C(C=C3)OC)OC	MLS000047897-01|MLS000878811-01|NCGC00051646-01|NCGC00051646-02	3238551		
Query	ML159	CC(=NNC(=O)C1CCCC1)C2=CC=C(C=C2)NC(=O)C(F)(F)F	MLS001232812-01|MLS002699429-01|NCGC00386855-01	26871482		
